 5.00000000e-13  6.45725495e-01  5.00000000e-13  1.68856057e+00  5.00000000e-13  6.67356099e-01  5.00000000e-13  2.10227413e+00 
 5.26806724e-13  6.46408559e-01  5.26806724e-13  1.66168803e+00  5.26806724e-13  6.68931717e-01  5.26806724e-13  2.09893096e+00 
 5.80420172e-13  6.48954639e-01  5.80420172e-13  1.61667946e+00  5.80420172e-13  6.72139230e-01  5.80420172e-13  2.09254770e+00 
 6.87647067e-13  6.53023764e-01  6.87647067e-13  1.59728181e+00  6.87647067e-13  6.75462021e-01  6.87647067e-13  2.10629852e+00 
 9.02100858e-13  6.56812514e-01  9.02100858e-13  1.70594804e+00  9.02100858e-13  6.75666830e-01  9.02100858e-13  2.19050889e+00 
 1.24460006e-12  6.61641416e-01  1.24460006e-12  1.90816287e+00  1.24460006e-12  6.72456468e-01  1.24460006e-12  2.28537351e+00 
 1.70873088e-12  6.66737094e-01  1.70873088e-12  2.04202972e+00  1.70873088e-12  6.67210937e-01  1.70873088e-12  2.29523399e+00 
 2.48458540e-12  6.72809102e-01  2.48458540e-12  2.09108629e+00  2.48458540e-12  6.57971955e-01  2.48458540e-12  2.22376296e+00 
 3.85179680e-12  6.74222433e-01  3.85179680e-12  2.07887833e+00  3.85179680e-12  6.39801680e-01  3.85179680e-12  2.06805069e+00 
 6.58621960e-12  6.47315996e-01  6.58621960e-12  1.93122579e+00  6.58621960e-12  6.02198629e-01  6.58621960e-12  1.71300676e+00 
 1.20550652e-11  4.97812925e-01  1.20550652e-11  1.48199774e+00  1.20550652e-11  5.45377427e-01  1.20550652e-11  1.06958303e+00 
 1.92939081e-11  2.11562416e-01  1.92939081e-11  8.60363434e-01  1.92939081e-11  5.51089666e-01  1.92939081e-11  5.36477489e-01 
 3.16586536e-11  2.71224779e-03  3.16586536e-11  2.37620870e-01  3.16586536e-11  8.10050939e-01  3.16586536e-11  2.91670471e-01 
 5.00000000e-11  1.24450144e-02  5.00000000e-11  4.35152982e-02  5.00000000e-11  1.14846610e+00  5.00000000e-11  8.70517774e-01 
 5.24729491e-11  7.18957676e-03  5.24729491e-11  4.46988749e-02  5.24729491e-11  1.16005122e+00  5.24729491e-11  1.03419078e+00 
 5.74188473e-11  2.67706803e-03  5.74188473e-11  4.23570335e-02  5.74188473e-11  1.17876843e+00  5.74188473e-11  1.39567870e+00 
 6.73106438e-11  2.25449724e-03  6.73106438e-11  3.13626210e-02  6.73106438e-11  1.19577605e+00  6.73106438e-11  2.18240787e+00 
 8.70942367e-11  2.58413818e-04  8.70942367e-11  1.44816689e-02  8.70942367e-11  1.20054765e+00  8.70942367e-11  2.97475682e+00 
 1.14922248e-10  1.38894890e-04  1.14922248e-10  3.42564816e-03  1.14922248e-10  1.19975839e+00  1.14922248e-10  3.20810235e+00 
 1.54395417e-10 -2.17263399e-04  1.54395417e-10  2.18842616e-03  1.54395417e-10  1.20010978e+00  1.54395417e-10  3.27240050e+00 
 2.00000000e-10  4.75521522e-04  2.00000000e-10  1.62121371e-03  2.00000000e-10  1.19997680e+00  2.00000000e-10  3.30174687e+00 
 2.05000000e-10  1.07534921e-04  2.05000000e-10  2.09842795e-03  2.05000000e-10  1.19993310e+00  2.05000000e-10  3.30031126e+00 
 2.15000000e-10 -4.55312320e-04  2.15000000e-10  2.67818505e-03  2.15000000e-10  1.19988785e+00  2.15000000e-10  3.29947279e+00 
 2.35000000e-10 -7.59736621e-05  2.35000000e-10  5.02216439e-04  2.35000000e-10  1.20006536e+00  2.35000000e-10  3.29915672e+00 
 2.70219652e-10  1.93527726e-04  2.70219652e-10 -1.61641774e-03  2.70219652e-10  1.20000144e+00  2.70219652e-10  3.29960677e+00 
 3.06461442e-10 -1.14233279e-04  3.06461442e-10  2.29984039e-04  3.06461442e-10  1.19996736e+00  3.06461442e-10  3.30013221e+00 
 3.56461442e-10  9.13338030e-05  3.56461442e-10  1.59656139e-04  3.56461442e-10  1.20003533e+00  3.56461442e-10  3.30000731e+00 
 4.06461442e-10 -7.12002428e-05  4.06461442e-10  2.01923131e-04  4.06461442e-10  1.19996667e+00  4.06461442e-10  3.30001130e+00 
 4.56461442e-10  5.76192164e-05  4.56461442e-10  4.08595225e-06  4.56461442e-10  1.20002913e+00  4.56461442e-10  3.29995996e+00 
