 5.00000000e-13  6.45063235e-01  5.00000000e-13  1.68507845e+00  5.00000000e-13  6.67197721e-01  5.00000000e-13  2.10103692e+00 
 5.26898882e-13  6.45722227e-01  5.26898882e-13  1.65790053e+00  5.26898882e-13  6.68771429e-01  5.26898882e-13  2.09759730e+00 
 5.80696647e-13  6.48229955e-01  5.80696647e-13  1.61237537e+00  5.80696647e-13  6.71974066e-01  5.80696647e-13  2.09104566e+00 
 6.88292175e-13  6.52234583e-01  6.88292175e-13  1.59295377e+00  6.88292175e-13  6.75277434e-01  6.88292175e-13  2.10487711e+00 
 9.03483233e-13  6.55961457e-01  9.03483233e-13  1.70362153e+00  9.03483233e-13  6.75454433e-01  9.03483233e-13  2.19012379e+00 
 1.24652921e-12  6.60845949e-01  1.24652921e-12  1.90695161e+00  1.24652921e-12  6.72263608e-01  1.24652921e-12  2.28540510e+00 
 1.71324630e-12  6.66125797e-01  1.71324630e-12  2.03896961e+00  1.71324630e-12  6.67059775e-01  1.71324630e-12  2.29403505e+00 
 2.48975874e-12  6.72449327e-01  2.48975874e-12  2.08674015e+00  2.48975874e-12  6.57915004e-01  2.48975874e-12  2.22219708e+00 
 3.86432765e-12  6.74245137e-01  3.86432765e-12  2.07569363e+00  3.86432765e-12  6.39775568e-01  3.86432765e-12  2.06648860e+00 
 6.61346546e-12  6.47651797e-01  6.61346546e-12  1.92921034e+00  6.61346546e-12  6.02086148e-01  6.61346546e-12  1.71016393e+00 
 1.12716316e-11  5.26052931e-01  1.12716316e-11  1.55072024e+00  1.12716316e-11  5.50596463e-01  1.12716316e-11  1.15063902e+00 
 1.82562120e-11  2.50623394e-01  1.82562120e-11  9.51120291e-01  1.82562120e-11  5.42708541e-01  1.82562120e-11  5.91856144e-01 
 2.99764677e-11  1.25191594e-02  2.99764677e-11  2.93218448e-01  2.99764677e-11  7.62309222e-01  2.99764677e-11  2.90689555e-01 
 5.00000000e-11  7.07492430e-03  5.00000000e-11  3.13715323e-02  5.00000000e-11  1.14088894e+00  5.00000000e-11  8.68098223e-01 
 5.23440512e-11  4.89381197e-03  5.23440512e-11  3.58237033e-02  5.23440512e-11  1.15515102e+00  5.23440512e-11  1.02222125e+00 
 5.70321535e-11  2.87110965e-03  5.70321535e-11  3.82812116e-02  5.70321535e-11  1.17669651e+00  5.70321535e-11  1.36269269e+00 
 6.64083581e-11  2.03464771e-03  6.64083581e-11  3.06006337e-02  6.64083581e-11  1.19467388e+00  6.64083581e-11  2.11812524e+00 
 8.51607673e-11  5.65263132e-04  8.51607673e-11  1.53965157e-02  8.51607673e-11  1.20060626e+00  8.51607673e-11  2.93645468e+00 
 1.13488221e-10  2.56481522e-04  1.13488221e-10  4.07550506e-03  1.13488221e-10  1.19973891e+00  1.13488221e-10  3.20734910e+00 
 1.51370625e-10 -6.99383799e-05  1.51370625e-10  1.83001539e-03  1.51370625e-10  1.20010179e+00  1.51370625e-10  3.26702111e+00 
 2.00000000e-10  4.12649078e-04  2.00000000e-10  2.09179591e-03  2.00000000e-10  1.19997239e+00  2.00000000e-10  3.30355979e+00 
 2.05000000e-10  3.26599612e-05  2.05000000e-10  2.58487360e-03  2.05000000e-10  1.19991900e+00  2.05000000e-10  3.30128426e+00 
 2.15000000e-10 -5.14211304e-04  2.15000000e-10  2.73142699e-03  2.15000000e-10  1.19988286e+00  2.15000000e-10  3.29965807e+00 
 2.35000000e-10 -5.96248230e-05  2.35000000e-10 -3.22698147e-04  2.35000000e-10  1.20007872e+00  2.35000000e-10  3.29918123e+00 
 2.67927618e-10  1.55873390e-04  2.67927618e-10 -2.20340108e-03  2.67927618e-10  1.19999304e+00  2.67927618e-10  3.29954404e+00 
 3.02492455e-10 -1.04377383e-04  3.02492455e-10  7.39027289e-04  3.02492455e-10  1.19997497e+00  3.02492455e-10  3.30031393e+00 
 3.52492455e-10  8.31134451e-05  3.52492455e-10  4.13512474e-04  3.52492455e-10  1.20002943e+00  3.52492455e-10  3.29994745e+00 
 4.02492455e-10 -6.59073157e-05  4.02492455e-10  3.91071075e-04  4.02492455e-10  1.19997119e+00  4.02492455e-10  3.30003621e+00 
 4.52492455e-10  5.37289816e-05  4.52492455e-10 -8.53830702e-05  4.52492455e-10  1.20002578e+00  4.52492455e-10  3.29989727e+00 
 5.02492455e-10 -4.41837561e-05  5.02492455e-10  1.99973376e-04  5.02492455e-10  1.19997768e+00  5.02492455e-10  3.30008293e+00 
 5.52492455e-10  3.71703645e-05  5.52492455e-10 -1.38522404e-04  5.52492455e-10  1.20001876e+00  5.52492455e-10  3.29990736e+00 
