 5.00000000e-13  6.44124726e-01  5.00000000e-13  1.81854626e+00 
 5.27016008e-13  6.44197286e-01  5.27016008e-13  1.80430188e+00 
 5.81048025e-13  6.45099326e-01  5.81048025e-13  1.79070373e+00 
 6.89112059e-13  6.46379054e-01  6.89112059e-13  1.82047192e+00 
 9.05240126e-13  6.46826268e-01  9.05240126e-13  1.90602205e+00 
 1.20738753e-12  6.47461748e-01  1.20738753e-12  1.94722456e+00 
 1.69933156e-12  6.47752910e-01  1.69933156e-12  1.93420934e+00 
 2.43322764e-12  6.46676620e-01  2.43322764e-12  1.89354216e+00 
 3.84857040e-12  6.38794183e-01  3.84857040e-12  1.78759774e+00 
 6.51545363e-12  6.08300228e-01  6.51545363e-12  1.50896012e+00 
 1.01193706e-11  5.42825077e-01  1.01193706e-11  1.09039019e+00 
 1.54135981e-11  4.19367432e-01  1.54135981e-11  5.90707671e-01 
 2.37372066e-11  2.10282449e-01  2.37372066e-11  2.23169725e-01 
 3.68686033e-11  3.25670812e-02  3.68686033e-11  1.11789416e-01 
 5.00000000e-11  1.34272011e-02  5.00000000e-11  8.65985630e-02 
 5.22097031e-11  1.30148957e-02  5.22097031e-11  8.25220948e-02 
 5.66291092e-11  1.15698141e-02  5.66291092e-11  7.47981453e-02 
 6.54679215e-11  8.60320444e-03  6.54679215e-11  6.26149373e-02 
 8.31455460e-11  4.64473859e-03  8.31455460e-11  4.34809767e-02 
 1.18500795e-10  5.86100633e-04  1.18500795e-10  1.54299262e-02 
 1.59250398e-10 -8.37009062e-05  1.59250398e-10  8.75128843e-03 
 2.00000000e-10  4.06120222e-04  2.00000000e-10  2.88760514e-03 
 2.05000000e-10  2.60622376e-04  2.05000000e-10  2.50284309e-03 
 2.15000000e-10 -2.20397291e-04  2.15000000e-10  2.82058083e-03 
 2.35000000e-10 -2.88538514e-04  2.35000000e-10  2.58863713e-03 
 2.75000000e-10  1.80437923e-04  2.75000000e-10  9.73489284e-04 
 3.22735686e-10 -1.10440749e-04  3.22735686e-10 -1.33159972e-03 
 3.66670696e-10  7.19226795e-05  3.66670696e-10  6.00707625e-04 
 4.16670696e-10 -5.26359718e-05  4.16670696e-10 -1.68198841e-04 
 4.66670696e-10  4.04615275e-05  4.66670696e-10  2.16437682e-04 
 5.16670696e-10 -3.18600732e-05  5.16670696e-10 -9.74691884e-05 
 5.66670696e-10  2.58770087e-05  5.66670696e-10  4.86252499e-05 
 6.16670696e-10 -2.12004028e-05  6.16670696e-10  5.03453461e-06 
 6.66670696e-10  1.78498677e-05  6.66670696e-10 -4.49430433e-05 
 7.16670696e-10 -1.50340220e-05  7.16670696e-10  7.83581802e-05 
 7.66670696e-10  1.30265497e-05  7.66670696e-10 -1.04886834e-04 
 8.16670696e-10 -1.12057189e-05  8.16670696e-10  1.26081967e-04 
 8.66670696e-10  9.94477982e-06  8.66670696e-10 -1.42622112e-04 
 9.16670696e-10 -8.68936885e-06  9.16670696e-10  1.55371992e-04 
 9.66670696e-10  7.86174445e-06  9.66670696e-10 -1.64875671e-04 
 1.01667070e-09 -6.94140587e-06  1.01667070e-09  1.71759086e-04 
 1.06667070e-09  6.37592406e-06  1.06667070e-09 -1.76403715e-04 
 1.11667070e-09 -5.66284183e-06  1.11667070e-09  1.79275315e-04 
 1.16667070e-09  5.26327880e-06  1.16667070e-09 -1.80630366e-04 
 1.21667070e-09 -4.68461454e-06  1.21667070e-09  1.80817319e-04 
 1.26667070e-09  4.39527656e-06  1.26667070e-09 -1.79991617e-04 
 1.31667070e-09 -3.90830924e-06  1.31667070e-09  1.78448834e-04 
 1.36667070e-09  3.69614608e-06  1.36667070e-09 -1.76236159e-04 
 1.41667070e-09 -3.27489892e-06  1.41667070e-09  1.73602900e-04 
 1.46667070e-09  3.11935973e-06  1.46667070e-09 -1.70553723e-04 
 1.51667070e-09 -2.74736889e-06  1.51667070e-09  1.67284812e-04 
 1.56667070e-09  2.63513490e-06  1.56667070e-09 -1.63773699e-04 
 1.61667070e-09 -2.30151938e-06  1.61667070e-09  1.60177430e-04 
 1.66667070e-09  2.22358085e-06  1.66667070e-09 -1.56456103e-04 
 1.71667070e-09 -1.92080243e-06  1.71667070e-09  1.52737631e-04 
 1.76667070e-09  1.87077271e-06  1.76667070e-09 -1.48971467e-04 
 1.81667070e-09 -1.59336739e-06  1.81667070e-09  1.45263782e-04 
 1.86667070e-09  1.56651927e-06  1.86667070e-09 -1.41558033e-04 
 1.91667070e-09 -1.31036199e-06  1.91667070e-09  1.37944138e-04 
 1.96667070e-09  1.30306162e-06  1.96667070e-09 -1.34362674e-04 
 2.01667070e-09 -1.06492848e-06  2.01667070e-09  1.30891382e-04 
 2.06667070e-09  1.07429332e-06  2.06667070e-09 -1.27470002e-04 
 2.11667070e-09 -8.51592469e-07  2.11667070e-09  1.24167110e-04 
 2.16667070e-09  8.75277661e-07  2.16667070e-09 -1.20922901e-04 
 2.21667070e-09 -6.65878739e-07  2.21667070e-09  1.17799020e-04 
 2.26667070e-09  7.01939433e-07  2.26667070e-09 -1.14736894e-04 
 2.31667070e-09 -5.04061369e-07  2.31667070e-09  1.11792892e-04 
 2.36667070e-09  5.50860429e-07  2.36667070e-09 -1.08910104e-04 
 2.41667070e-09 -3.62995036e-07  2.41667070e-09  1.06140849e-04 
 2.46667070e-09  4.19138977e-07  2.46667070e-09 -1.03430075e-04 
 2.51667070e-09 -2.39996818e-07  2.51667070e-09  1.00826969e-04 
 2.56667070e-09  3.04289809e-07  2.56667070e-09 -9.82783850e-05 
 2.61667070e-09 -1.32760656e-07  2.61667070e-09  9.58310587e-05 
 2.66667070e-09  2.04170169e-07  2.66667070e-09 -9.34337030e-05 
 2.71667070e-09 -3.92931397e-08  2.71667070e-09  9.11311189e-05 
 2.76667070e-09  1.16923720e-07  2.76667070e-09 -8.88737736e-05 
 2.81667070e-09  4.21359224e-08  2.81667070e-09  8.67049233e-05 
 2.86667070e-09  4.09366671e-08  2.86667070e-09 -8.45766554e-05 
 2.91667070e-09  1.13032849e-07  2.91667070e-09  8.25309801e-05 
 2.96667070e-09 -2.51976761e-08  2.96667070e-09 -8.05214567e-05 
 3.01667070e-09  1.74711763e-07  3.01667070e-09  7.85890802e-05 
 3.06667070e-09 -8.27074006e-08  3.06667070e-09 -7.66887315e-05 
 3.11667070e-09  2.28320773e-07  3.11667070e-09  7.48605712e-05 
 3.16667070e-09 -1.32666028e-07  3.16667070e-09 -7.30606553e-05 
 3.21667070e-09  2.74863838e-07  3.21667070e-09  7.13284528e-05 
 3.26667070e-09 -1.76012658e-07  3.26667070e-09 -6.96210576e-05 
 3.31667070e-09  3.15219510e-07  3.31667070e-09  6.79773616e-05 
